,Unnamed: 0.1,Unnamed: 0,poster,title,certificate,runtime,genre,rating,about,director,stars,votes,gross_earn,clean about
0,0,0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the shawshank redemption,15,142 min,['drama'],9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",frank darabont,"('Tim Robbins',), ('Morgan Freeman',), ('Bob Gunton',), ('William Sadler',)","26,26,905",$28.34M,"['two', 'imprisoned', 'men', 'bond', 'number', 'years', 'finding', 'solace', 'eventual', 'redemption', 'acts', 'common', 'decency']"
1,1,1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the dark knight,12A,152 min,"['action', 'crime', 'drama']",9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",christopher nolan,"('Christian Bale',), ('Heath Ledger',), ('Aaron Eckhart',), ('Michael Caine',)","25,98,173",$534.86M,"['menace', 'known', 'joker', 'wreaks', 'havoc', 'chaos', 'people', 'gotham', 'batman', 'must', 'accept', 'one', 'greatest', 'psychological', 'physical', 'tests', 'ability', 'fight', 'injustice']"
2,2,2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,inception,12A,148 min,"['action', 'adventure', 'sci-fi']",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",christopher nolan,"('Leonardo DiCaprio',), ('Joseph Gordon-Levitt',), ('Elliot Page',), ('Ken Watanabe',)","23,04,062",$292.58M,"['thief', 'steals', 'corporate', 'secrets', 'use', 'dreamsharing', 'technology', 'given', 'inverse', 'task', 'planting', 'idea', 'mind', 'ceo', 'tragic', 'past', 'may', 'doom', 'project', 'team', 'disaster']"
3,3,3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,fight club,18,139 min,['drama'],8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,david fincher,"('Brad Pitt',), ('Edward Norton',), ('Meat Loaf',), ('Zach Grenier',)","20,71,088",$37.03M,"['insomniac', 'office', 'worker', 'devilmaycare', 'soap', 'maker', 'form', 'underground', 'fight', 'club', 'evolves', 'much']"
4,4,4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,pulp fiction,18,154 min,"['crime', 'drama']",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",quentin tarantino,"('John Travolta',), ('Uma Thurman',), ('Samuel L. Jackson',), ('Bruce Willis',)","20,11,013",$107.93M,"['lives', 'two', 'mob', 'hitmen', 'boxer', 'gangster', 'wife', 'pair', 'diner', 'bandits', 'intertwine', 'four', 'tales', 'violence', 'redemption']"
5,5,5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,forrest gump,12,142 min,"['drama', 'romance']",8.8,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",robert zemeckis,"('Tom Hanks',), ('Robin Wright',), ('Gary Sinise',), ('Sally Field',)","20,32,188",$330.25M,"['presidencies', 'kennedy', 'johnson', 'vietnam', 'war', 'watergate', 'scandal', 'historical', 'events', 'unfold', 'perspective', 'alabama', 'man', 'iq', '75', 'whose', 'desire', 'reunited', 'childhood', 'sweetheart']"
6,6,6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the lord of the rings: the fellowship of the ring,PG,178 min,"['action', 'adventure', 'drama']",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,peter jackson,"('Elijah Wood',), ('Ian McKellen',), ('Orlando Bloom',), ('Sean Bean',)","18,23,037",$315.54M,"['meek', 'hobbit', 'shire', 'eight', 'companions', 'set', 'journey', 'destroy', 'powerful', 'one', 'ring', 'save', 'middleearth', 'dark', 'lord', 'sauron']"
7,7,7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the matrix,15,136 min,"['action', 'sci-fi']",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",lana wachowski,"('Lilly Wachowski',), ('Keanu Reeves',), ('Laurence Fishburne',), ('Carrie-Anne Moss',)","18,81,439",$171.48M,"['beautiful', 'stranger', 'leads', 'computer', 'hacker', 'neo', 'forbidding', 'underworld', 'discovers', 'shocking', 'truththe', 'life', 'knows', 'elaborate', 'deception', 'evil', 'cyberintelligence']"
8,8,8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the lord of the rings: the return of the king,12A,201 min,"['action', 'adventure', 'drama']",9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,peter jackson,"('Elijah Wood',), ('Viggo Mortensen',), ('Ian McKellen',), ('Orlando Bloom',)","18,01,662",$377.85M,"['gandalf', 'aragorn', 'lead', 'world', 'men', 'saurons', 'army', 'draw', 'gaze', 'frodo', 'sam', 'approach', 'mount', 'doom', 'one', 'ring']"
9,9,9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the godfather,X,175 min,"['crime', 'drama']",9.2,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,francis ford coppola,"('Marlon Brando',), ('Al Pacino',), ('James Caan',), ('Diane Keaton',)","18,19,641",$134.97M,"['aging', 'patriarch', 'organized', 'crime', 'dynasty', 'postwar', 'new', 'york', 'city', 'transfers', 'control', 'clandestine', 'empire', 'reluctant', 'youngest', 'son']"
